# OF COMPLETED EVENTS,Partnership Tier Level ,Characteristics,VENUE NAME,Assigned Consultant Manager,ADDRESS,DISTANCE FROM OUR  KITCHEN,REFERRAL STATUS,LAST EVENT DATE,Are we added to ther website as  preferred vendor?,Partnered Venue?,Needs Permit?,Notes,Account Manager ,Venue visti done? ,Link of Close CRM,Website Link 
COMPLETED 2 EVENTS,TIER 1-Connected Partner,"further research 
CAPACITY: not more than 50 people 
This is ART  gallery
no bar 
TOni( worked with thtem twice, they attended tasting",Pellas Gallery,Toni,"73 Newbury St, Boston, MA 02116",,,May 17 2025,,,,2 events done (food and bar),,,https://app.close.com/lead/lead_pPoCm3daEoAoolGvSayvEXPJ0QXYIZP06zNrJlzfzkQ/,
PARTNERED VENDORS,TIER 2 - Preferred Partner,"W/kitchen
they dont hold  big wedding
just 60 to 70 guests 
they have accomodation 
they have outdoor and indoor space
beautiful events ",Shelburn Spring ,Toni,"904 Mohawk Trail, Shelburne Falls, MA 01370, United States","1HR 8 ,MINS


",yes,"March 28,2025",,Yes,,2 events ,,,https://app.close.com/lead/lead_5kRSyTGu18PtSvlTCUpGupvb7JTknLVola9CnUES8AK/,https://www.facebook.com/BACFITCH/
COMPLETED 2 EVENTS,TIER 1-Connected Partner,further research ,Stone Garden,Toni,"10254 River Road         Westmoreland, NH 03467        ",,,6/28/2025,,,,2 events done,,,https://app.close.com/lead/lead_uc2XQjtJFO4I9P0dMfTwVNnWH0johljtq1NTQvmcWmJ/,
COMPLETED MORE THAN 3 EVENTS,TIER 1-Connected Partner,"they have bar
indoor/ inside plaza
good people couple running it
we can drop off thing ahead of time they are flexible 
venue , no accomodation 
can accomodate up to 150 guests 
they have a good space for kitchen only have limited kitchen equipment 
recommend: wedding, corporate event, networking , birthday 

",The White Room,Toni," Lower Level, 138 Green St, Worcester, MA 01604",,,"April, 2024",,no,,3 events done ,,,,
COMPLETED MORE THAN 3 EVENTS,TIER 2 - Preferred Partner,"no bar 
no accomodation  only venue
no space to cook  they are inside a plaza so this is indoor  
good for birthday, networking, corporate event 
price point: range: 1200 to 2500 depending on the day 
100 guests only 
 ( we need to check if need a licensing permit ) 
 this is  very far  so drop off ahead of time is not  recommended

",Versailles,Toni,"262 Swansea Mall Dr. Swansea, MA 02777",,Yes,Feb 28th,,Yes,,6 events done,,yes,,https://wingatecompanies.com/communities/carter-school/
,,, ,,"360 Foley St, Somerville, MA 02145",,,,,,,,,,,https://officialcampkiwanee.com/
COMPLETED 1 EVENT,,,782Wrentham,,"782 South St. Wrentham,  Wrentham, MA 02093",,,,,,,One event done. We do allow outside catering and bar service.,,,https://app.close.com/lead/lead_KzyOrHFg4Sb0pPINT3bSWX7OY2EOQkEi4zyGzhVSAv1/,https://www.charlesrivermuseum.org/
COMPLETED 1 EVENT,,,Archers Artemis,,"10 Industrial Way, Amesbury, MA 01913, USA",,,,,,,1 event complete,,,https://app.close.com/leads/save_CcVzMI6s2oLybrJBIT3RIEEpl3libnGlb1ojbHwvrYt/share_2F2Pkl3Gc5lRzqRDIda9LG/,"Camp Robindel Facilities, Girls Summer Camp in New Hampshire"
COMPLETED 1 EVENT,,,"Barney Carriage House",,"Laurel Hill Rd, Springfield, MA 01108, USA",,,,,,,1 Event done,,,,https://www.jabil.com/
COMPLETED 1 EVENT,,,Big Tech Builders Group,,"833 New West Townsend Rd, Lunenburg",,,,,,,1 event done,,,https://app.close.com/lead/lead_u0bZQRcpn63dnKMFUCnzdwYpqWsduEFEDriPaF6G2k3/,Community Harvest Project
COMPLETED 1 EVENT,,,Bright Future Financial LLC,,"42 Main Street, Suite 3 Leominster, MA 01453",,,,,,,1 event done,,,https://app.close.com/lead/lead_CmpMMMPOVE5JvT4aVbuBDDx0b2ixVZ8vDeNWudOIvAb/,https://www.commandersmansion.com/
COMPLETED 1 EVENT,,,British American Club,,"1 Simonds Rd, Fitchburg, MA 01420",,,,,,,1 event done,,,https://app.close.com/lead/lead_NCn7qxgTOTQ6OO3T0kiv5A9r5GsNOk71gNkQyuTozRs/,http://www.etsequipmentrental.com
COMPLETED 1 EVENT,,,Brolin Winning (Shelburne Springs),,"360 Foley St, Somerville, MA 02145",,,11/9/2024,,,,1 event done ,,,,https://www.franchescasatwaterplace.com/
COMPLETED 1 EVENT,,,Camp Kiwanee,,"460 Indian Head St, Hanson, MA 02341",,no ,,,,,1 event done ,,,https://app.close.com/lead/lead_YWG6Is9jOtljSZjJo9BSTIuCJClgHJZKGFPqOKHVQQv/,
COMPLETED 1 EVENT,,,Camp Robindel,,"81 Geneva Point Rd, Moultonborough, NH 03254",, ,"Upcoming : August 23, Mollie Dignan",,no ,,"They have a good dining hall next to the lake, they have a chef, but we have not contacted them yet 
",,,https://app.close.com/lead/lead_O3r3LEAiGd7ZHC5jX4BtNcNsVb31R2JpMVLOWQhunZB/,
COMPLETED 1 EVENT,,,Carter School Apartments,,"261 West St, Leominster, MA 01453",,,,,,,1 event done,,,https://app.close.com/lead/lead_Xjz4He1QdLjPV9cQs3uxAzv9cepnENNlpTc3wEnhtla/,https://www.fivebridgeinn.com/
COMPLETED 1 EVENT,,,Centro Night Club,,"56 Common St,Lawrence, MA 01840 United States",,,"August 31, 2025",,,,1 Event done ,,,,https://www.fernandespainting.com/
COMPLETED 1 EVENT,,,Churchill Barn Wedding & Events  ,,"1 Churchill CT, York, ME 03903",,,"October 18, 2025",,,,1 Event done,,,,https://framinghamhistory.org/
COMPLETED 1 EVENT,,,Clinton & Devens,,"56 Barnum Rd, Harvard, MA 01451",,,,,,,One event done,,,https://app.close.com/lead/lead_jKMJuqhXHaY2ZMaHQ5PVA9oIZyDgfNlqjSZed2C2INk/,https://chcfhc.org/
COMPLETED 1 EVENT,,,Cobb Hill Estate,,"279 Cobb Hill Rd, Harrisville, NH 03450, United States",,,,,,,1 event done,,,,https://fitchburgartmuseum.org/
Have an upcoming event,,,"Community Harvest Project in North Grafton, MA",,"37 Wheeler Rd, North Grafton, MA 01536, United States",,,,,,,upcoming event in 8/8/2026,,,,https://www.hfcu.org/
UPCOMING EVENT,,,Community Harvest Project North Grafton,,"37 Wheeler Rd North Grafton, MA, 01536",,not yet,"Upcoming: June 21, 2025",,no,,,,,"https://app.close.com/lead/lead_cOaGcqXUhrcaU1JMZWbMImpsAFt9ITXnKsfKmLCnqja/, https://app.close.com/lead/lead_bZ4QqygFgy1Ilbo0kQZJrKdM9ocThfv6HuQ6NATYi4B/",
,,,Covenant Presbyterian Church,,"50E Merrimack St., Lowell, MA 01852",,,,,,,event will be on december 28,,,,https://hammondcastle.org/
,,,Crystal Ballroom,,,,,,,,,,,,,https://www.mass.gov/locations/hopkinton-state-park
COMPLETED 1 EVENT,,,Crystal Ballroom ,,"254 Whitman St, East Bridgewater, MA 02333",,,,,,,"1 event done but theres an upcomming in June 6, 2026",,,,
,,,Event Them,,,,,,,,,,,,,
COMPLETED 1 EVENT,,,Evergreen Farm,,"laurel Hill Rd, Springfield, MA 01108, USA",,,"September 27, 2025",,,,1 Event done,,,,
COMPLETED 1 EVENT,,,"Fernandes Painting Group, Inc",,"3 Drury Ln, Wilmington, MA 01887, United States",,,,,,,One event done,,,https://app.close.com/lead/lead_1oiBLTjZBpMebx35dMIuEmoxwusgn2koitzsRELOWpU/,
PARTNERED VENDORS,,,Finnish Center of Saima Park,,"67 Scott Road, Fitchburg, MA",,sent us some referals ,,,yes,,One event done,,,https://app.close.com/lead/lead_4IHQCHW2p6hEC8YkB4MfZd22d4vvuKOjcodxy49rlWl/,
COMPLETED 1 EVENT,,,First Church of God in Christ,,82 snow st. fitchburg ma 01420,,,,,,,One event done,,,https://app.close.com/lead/lead_DFVtxTa7PlXgejIPwTLvFqot8E38lv7CG6CtDfcNu7a/,
COMPLETED 1 EVENT,,,Fitchburg Art Museum,,"185 Elm St, Fitchburg, MA 01420",,,,,,,One event done,,,https://app.close.com/lead/lead_rWalTJ3QPveGWSlRproaO988IPFBqoWxAD3mmrZYv7x/,https://www.julietsomerville.com/
COMPLETED 1 EVENT,,,Fitchburg Community Health Center,,"326 Nichols Road, Fitchburg, MA",,,,,,,One event done,,,https://app.close.com/lead/lead_e37ONGhDITyKxRmxTWNNfYZzTSLI5IxPN6ATt3FNzD8/,
COMPLETED 1 EVENT,,"They have two websites .
The Venue is inside the Framingham History Center ","Framingham History Center  
(Vilalge Hall on the Common) is the actual name of the Hall)",,"3 Oak St, Framingham, MA 01701, United States",,,,,,,"One event done, Outside food allowed",,,https://app.close.com/lead/lead_IxW1kEUsWM8i0XfwlOMoUpRvTN7ohN74QhrVoUXFKDo/,http://www.massbay.edu/
COMPLETED 1 EVENT,,,Franchesca's at Waterplace,,"200 Exchange St, Unit B Providence, RI 02903",,,"August 30, 2025",,,,1 Event done ,,,,https://thecmp.org/cmp-clubs/marlboro-fish-game-association-inc/
COMPLETED 1 EVENT,,"Does NOT have BAR 
indoor/ inside plaza / A LITTLE BIT OF OUTSIDE 
Big company running (property management company) 
Maybe we can drop off thing ahead of time they are kinda flexible(seemed like from last time we talked)  
venue , no accomodation 
can accomodate up to 150 guests 
they have a good space for kitchen only have limited kitchen equipment 
recommend: wedding, corporate event, networking , birthday 


",Garage B Events at The Speedway,Andre,"1420 Soldiers Fld Rd, Boston, MA 02135, United States",,,10/04/2025,,,,1 event done,,,,https://www.nasctf.org/
COMPLETED 1 EVENT,,,,,,,,,,,,,,,,
COMPLETED 1 EVENT,,,New England Carpenter’s Training,,,,,,,,,,,,,https://www.newlifema.com/
COMPLETED 1 EVENT,,,Gardner Elks Lodge,,"31 PARK ST, GARDER MA",,,,,,,1  Event done,,,,
COMPLETED 1 EVENT,,,Granite United Church,,"1 Sandhill Rd	 Salem, NH 03079	",,,"May 31,2025",,,,1 Event done,,,,https://nightshiftbrewing.com/locations/everett-taproom/
