Appetizers,Premium,,Mains,Premium,,Sides,Premium,,Platters & Boards,Description,Premium,,"Soups &
Salads",Premium,,Bar/Beverage,Description,Premium,,Kids Menu,Option,,Rental / Extra,Description,Premium,,,,,,Services,Premium,Mains,Sides,Staff,Description,,Extras,,,Vendor Meals,Option,,,,Brunch,Option
Endive,6.00,,Ribeye,9.00,,Spanish Rice,,,____ Charcuterie ____,,,,Caesar Salad,$3.50,,Extra Hour Cash Bar,Extend your bar service beyond the standard 4 hours with an additional hour.,$1.95,,,,,Coffee & Tea Service,Coffee & Tea Service,2.50,,,,,Traditional Plated,Deluxe Plated Service,44.10,3.00,6.00,15.00,"Staff & Service: Personalized Plated Presentation
3 Protein Choices + 6 sides + 1 salad
Experience plated catering as our professional staff serve each guest their choice of protein alongside two sides, all from a custom curated menu provided in advance.
Budget Option: Switch to Family Style Plated & save $5/pp",,,,,,,,,,Pao de Quejo (Cheese Bread) Plain,2.75
Fruit Skewers or Caprese Skewers,2.95,,Filet Mignon,8.00,,Spinach Rice,,,"Charcuterie Board:
Classic Meats & Cheeses","What's on It:
Cheeses: Sharp cheddar, gouda, and brie
Meats: Salami, prosciutto, and pepperoni
Accompaniments: Crackers, mixed nuts, and olives",12.50,,Chefs Salad,$3.50,,Add Open Bar Time: Beer & Wine,Beer & Wine: Open Bar (1 Hour),$12.00,,,,,Cloth Napkins,color and size TBD,3,,,,,Dropoff Service,Mini Drop Off,24.90,1.00,2.00,0.00,"Drop Off Buffet Tray Service
1 main course + 2 sides + 1 Salad
Recommended: Upgrade to Add Self-Heating Wire Chafers & Sternos +5%
Requires: Delivery Service $2/mi
Recommended: Add a Buffet Setup Service +5%",,,,,,,,,,Pao de Quejo and Goiaba,3.00
Figs,6.50,,Beef brisket w/madeira sauce,,,Confetti Rice,2.00,,"Charcuterie Board:
Vegetarian Board","What's On It:
Cheeses: Goat cheese, cheddar, and havarti
Accompaniments: Fresh vegetables (carrot sticks, cherry tomatoes, cucumber slices), hummus, ranch, and mixed nuts
Extras: Grapes and apple slices",9.00,,Garden Salad,$3.50,,Add Open Bar Time: Full Bar,Full Bar: Open Bar (1 Hour),$15.00,,,,,Table Clearing: Disposables,"Table Clearing (Bussers): Responsible for clearing plates, utensils, and maintaining clean dining tables, ensuring a tidy and comfortable environment for your guests.",4.5,,,,,Dropoff Service,Full Drop Off,31.90,2.00,3.00,0.00,"Drop Off Buffet Tray Service
2 main course + 3 sides + 1 Salad
Recommended: Upgrade to Add Self-Heating Wire Chafers & Sternos +5%
Requires: Delivery Service $2/mi
Recommended: Add a Buffet Setup Service +5%",,,,,,,,,,Chicken Salad Mini Cups,2.75
Quinoa & Chickpea Salad in Mini Cups,2.50,,Steak Florentine,7,,Papa Rellena (Mashed potato balls with meat filling),3.50,,,,,,Pasta Salad,$3.50,,____ Open Bar ____,,,,,,,Table Clearing: China,"Table Clearing (Bussers): Responsible for clearing plates, utensils, and maintaining clean dining tables, ensuring a tidy and comfortable environment for your guests.",4.5,,,,,Dropoff Service,Deluxe Drop Off,37.90,3.00,3.00,0.00,"Drop Off Buffet Tray Service
3 main course + 3 sides + 1 Salad
Recommended: Upgrade to Add Self-Heating Wire Chafers & Sternos +5%
Requires: Delivery Service $2/mi
Recommended: Add a Buffet Setup Service +5%",,,,,,,,,,Dadinhos de Tapioca with Jelly,3.75
Spanakopita Cups,5.00,,_____ Chicken _____,,,Brown Rice,,,___ Tabletops ____,,,,The Wedge,$3.50,,Open Bar: Beer & Wine,"$22 per person. Includes beer, red & white wine, red/white sangria, and soft drinks.  If desired to do just 1 hr open bar, 1st hour open bar will be  $11
Extra Hour for beer & wine would be: $7",$22.00,,,,,Table Setup - Linens Only,Setting Up Tables for: Tablecloths & Napkins (if applicable) Only ,4.5,,,,,Churrasco: Buffet,Mini Churrasco,29.95,1.00,2.00,3.00,"Churrasco Self-Serve Attended Buffet 
1 meat + 2 sides + 1 salad
Attended: Setup + Breakdown + Refreshing Buffet
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and an optional Rodizio upgrade (+$20/pp) for continuous tableside service.",,,,,,,,,,Assorted Croquettes,5.95
Stuffed Mushrooms,3.00,,Oven roasted garlic & Rosemary chicken,,,Wild Rice,,,Tabletop Hot Appetizer Platter,"Each table of 6–7 gets its own hot sampler: mini empanadas, croquettes, and zesty rose dipping sauce.",7.50,,Quinoa Chickpea Feta Salad w/Balsamic Drizzle,$3.50,,"Open Bar: Beer & Wine 
w/ 3 Signature Drinks","$27 per person. Includes 3 specialty drinks, beer, red & white wine, red/white sangria, and soft drinks.  If desired to do just 1 hr open bar, 1st hour open bar will be  $12
Extra Hour would be full bar + 3 sig. drinks would be: $8",$27.00,,,,,Table Setup - China & Silverware Only,Setting Up Tables for: China & Silverware Only ,9,,,,,Churrasco: Buffet,Full Churrasco,36.90,2.00,3.00,3.00,"Churrasco Self-Serve Attended Buffet
2 meats + 3 sides + 1 salad
Attended: Setup + Breakdown + Refreshing Buffet
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and an optional Rodizio upgrade (+$20/pp) for continuous tableside service.",,,,,,,,,,Assorted Turnovers,5.95
_____ Hot Appetizers _____,,,½ Chicken,,,Risotto,2.00,,Mini Charcuterie,"Mini board, major flavors: salami, pepperoni, mixed nuts, berries, cheese: 1 board at each table for approx. 6–7 guests covered.",8.95,,Quinoa Spinach Salad,$4.00,,Open Bar: Full Bar,"$30 per person. beer, red & white wine, red/white sangria, liquor, and soft drinks. If desired to do just 1 hr open bar, 1st hour open bar will be  $16
Add top shelf option: $4 - $8 per person.
Extra Hour would be for full bar would be: $8",$30.00,,,,,Table Setup - China & Linens,Setting Up Tables for: China & Linens,4.5,,,,,Churrasco: Buffet,Deluxe Churrasco,41.90,3.00,3.00,3.00,"Churrasco Self-Serve Attended Buffet
3 meats + 3 sides + 1 salad
Attended: Setup + Breakdown + Refreshing Buffet
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and an optional Rodizio upgrade (+$20/pp) for continuous tableside service.",,,,,,,,,,Quiche: Brocolli & Spinach,8.50
Assorted Croquettes (3-in-1 Sampler),8.50,,Stuffed Boneless Chicken,,,Couscous,,,,,,,Vinaigrette Salad,$3.50,,Open Bar: Full Bar + 2 Signature Drinks,"$35 per person. beer, red & white wine, red/white sangria, liquor, 2 signature drinks, and soft drinks.  If desired to do just 1 hr open bar, 1st hour open bar will be  $19
Add top shelf option: $4 - $8 per person.
Extra Hour would be for full bar + 2 sig. drinks would be: $9",$35.00,,,,,Table Setup - Misc,Setting Up Tables for: China,,,,,,Churrasco: Buffet,Supreme Churrasco,46.90,4.00,3.00,3.00,"Churrasco Self-Serve Attended Buffet
4 meats +  3 sides + 1 salad
Attended: Setup + Breakdown + Refreshing Buffet
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and an optional Rodizio upgrade (+$20/pp) for continuous tableside service.",,,,,,,,,,"Eggs, Bacon, Sausage",8.75
Buffalo Chicken Dip,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Wings,7.00,,Chicken  Marsala,2.00,,Quinoa,,,,,,,Spinach Arugula Green Salad,$3.50,,____ Extras ____,,,,,,,Rodizio: Family Style Sides,Serving your side dishes tableside,5,,,,,Churrasco: Buffet,Supreme+ Churrasco,59.90,5.00,3.00,3.00,"Churrasco Self-Serve Attended Buffet
5 meats+ 3 sides + 2 salads
Attended: Setup + Breakdown + Refreshing Buffet
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and an optional Rodizio upgrade (+$20/pp) for continuous tableside service.",,,,,,,,,,Eggs,2.75
